Move	Command	Startup	Active	Recovery	Hit Advantage	CH hit adv.	Block Advantage	Damage	Stun	CH Damage	CH Stun	Chip	Total 	Hitstop	Attack Level	Cancel Ability	KD Adv.	KDR Adv.	KDRB Adv.	Note
stand LP	-	5	2	10	4	6	3	40	90	48	108	0	16	8	H	SP,V				U C S2 FRAME DATA
stand MP	-	7	2	16	4	6	1	60	120	72	144	10	24	12	H	SP,V				
stand HP	-	14	2	22	4	6	-6	90	150	108	180	15	37	15	H	V				
stand LK	-	4	3	6	6	8	3	30	90	36	108	0	12	8	H	SP,V				
stand MK	-	9	3	16	2	4	-2	60	120	72	144	10	27	12	H	V				
stand HK	-	12	3	20	7	31	0	100	150	120	180	17	34	15	H	V				
crouch LP	-	5	3	10	4	6	2	40	90	48	108	0	17	8	H	V				
crouch MP	-	6	6	15	0	2	-5	70	120	84	144	12	26	12	H	SP,V				
crouch HP	-	11	4	26	KD	KD	-9	80	150	96	180	13	40	15	H	SP,V	93	32	37	
crouch LK	-	5	2	11	4	6	2	30	90	36	108	0	17	8	L	V				
crouch MK	-	11	2	18	-1	1	-4	60	120	72	144	10	30	12	L	V				
crouch HK	-	12	3	25	KD	KD	-11	100	150	120	180	17	39	15	L	V	69	20	25	
jump LP	-	4	5	-	-	-	-	50	90	60	108	0		8	M	-				
jump MP	-	7	6	-	-	-	-	70	120	84	144	12		12	M	-				
jump HP	-	7	5	-	-	-	-	100	150	120	180	17		15	M	-				
jump LK	-	5	5	-	-	-	-	50	90	60	108	0		8	M	-				
jump MK	-	7	4	-	-	-	-	70	120	84	144	12		12	M	-				
jump HK	-	9	5	-	-	-	-	100	150	120	180	17		15	M	-				
bull charge	f+HP	25	4	18	3	KD	-8	80	150	96	180	13	46	15	H	-	110	49	54	CH AIR 23F
bull slider	df+HP	19	5	22	-1	1	-8	90	150	108	180	15	45	12	L	-				
bull drop	f+HK	7	3(12)4	18	2	4	-6	40*80	50*100	48*80	60*100	7*13	43		H*M	-				
bad hammer	d+HP > HP	7	5	31	KD	KD	-	90*54	150*135	54	135	-		15*10	H*H	-	62	1	6	
