Move	Command	Startup	Active	Recovery	Total 	Hit Advantage	CH hit adv.	Block Advantage	 Damage	Stun	KD Adv.	KDR Adv.	KDRB Adv.	Note
dash forward	16		16		16									
dash backward	21		21		21									
jump	47(4+39+4)	43	1	4	47									
jump forward	46(3+39+4)	42	1	4	46									
jump backward	47(4+39+4)	43	1	4	47									
stand LP		4	2	6	11	4	6	2						
stand MP		6	3	9	17	7	9	3						
stand HP		6	2	20	27	1	3	-3						
stand LK		4	2	7	12	2	4	1						
stand MK		8	3	13	23	2	4	-2						
stand HK		9	4	17	29	2	20	-2						
crouch LP		3	3	6	11	4	6	2						
crouch MP		5	3	10	17	5	7	1						
crouch HP		9	3	20	31	1	3	-2						
crouch LK		4	2	9	14	1	3	-1						
crouch MK		7	2	14	22	0	2	-3						
crouch HK		7	2	22	30	KD	KD	-12			69	20	25	
knee bullet	f+HK	12	2(5)2	17	37	5	5	-2						
lift upper	b+MP	4	4	14	21	4	6	1						
lift combination	b+MP > HK	4	4	14		KD	KD	-12			87	28	33	
stand LP CHAIN LP 1	5LP 5LP	4	2(7)2	6	20	4	6	2						
stand LP CHAIN LP 2	5LP 5LP 5LP	4	2(7)2(7)2	6	29	4	6	2						
stand LP CHAIN LP 3	5LP 5LP 5LP 5LP	4	2(7)2(7)2(7)2	6	38	4	6	2						
crouch LP CHAIN LP 1	2LP 2LP	3	3(4)3	6	18	4	6	2						
crouch LP CHAIN LP 2	2LP 2LP 2LP	3	3(4)3(4)3	6	25	4	6	2						
crouch LP CHAIN LP 3	2LP 2LP 2LP 2LP	3	3(4)3(4)3(4)3	6	32	4	6	2						
crouch LK CHAIN LK 1	2LK 2LK	4	2(7)2	9	23	1	3	-1						
crouch LK CHAIN LK 2	2LK 2LK 2LK	4	2(7)2(7)2	9	32	1	3	-1						
crouch LK CHAIN LK 3	2LK 2LK 2LK 2LK	4	2(7)2(7)2(7)2	9	41	1	3	-1						
jump LP		3	5	-		-	-	-						
jump MP		5	5	-		-	-	-						
jump HP		7	5	-		-	-	-						
jump LK		3	5	-		-	-	-						
jump MK		6	5	-		-	-	-						
jump HK		7	5	-		-	-	-						
gyro clipper	LP+LK	5	2	18	24	KD	KD	KD			58	9	9	
delta through	b+LP+LK	5	2	18	24	KD	KD	KD			64	15	15	
strike back	f+KKK	17	2	24	42	2	2	-8						
axel spin knuckle	MP+MK	35	2	13	49	6	8	2						
axel spin knuckle CROSS	MP+MK	36	2	16	53	6	8	2						
delta drive	HP+HK	1	1	8	9			-						
