Move	Command	Startup	Active	Recovery	Hit Advantage	CH hit adv.	Block Advantage	VTC Hit Adv	VTC Blk Adv	Damage	Stun	Chip	CH Damage	CH Stun	Total	Hitstop	Attack Level	Cancel Ability	KD Adv.	KDR Adv.	KDRB Adv.	Note
stand LP		4	2	8	4	6	3	6	5	30	70	0	36	84	13	8	H	CH,SP,CA,V	-	-	-	5LP 123(45)(678) CHAIN 123(45)(67)/(8-13)
stand LP CHAIN 5LP 1	5LP 5LP	4	2(6)2	8	4	6	3	6	5	30	70	0	36	84	21	8	H	CH,SP,CA,V	-	-	-	
stand LP CHAIN 5LP 2	5LP 5LP 5LP	4	2(5)2(6)2	8	4	6	3	6	5	30	70	0	36	84	28	8	H	CH,SP,CA,V	-	-	-	
stand LP CHAIN 5LP 3	5LP 5LP 5LP 5LP	4	2(5)2(5)2(6)2	8	4	6	3	6	5	30	70	0	36	84	35	8	H	CH,SP,CA,V	-	-	-	
stand MP		6	3	13	6	8	2	14	10	60	100	10	72	120	21	12	H	V	-	-	-	CH FORCE STAND
stand HP		8	3	18	7	9	-4	20	9	80	150	13	96	180	28	15	H	V	-	-	-	
stand LK		4	3	9	4	6	2	8	6	30	70	0	36	84	15	8	H	V	-	-	-	
stand MK		7	3	15	3	5	-1	13	9	60	100	10	72	120	24	12	H	V	-	-	-	
stand HK		14	3	18	2	4	-3	15	10	80	150	13	96	180	34	15	H	V	-	-	-	
crouch LP		4	3	7	4	6	2	6	4	30	70	0	36	84	13	8	H	CH,SP,CA,V	-	-	-	2LP 123(456)(7890) CHAIN 123(456)(7890)/(11-13)
crouch LP CHAIN 2LP 1	2LP 2LP	4	3(7)3	7	4	6	2	6	4	30	70	0	36	84	23	8	H	CH,SP,CA,V	-	-	-	
crouch LP CHAIN 2LP 2	2LP 2LP 2LP	4	3(7)3(7)3	7	4	6	2	6	4	30	70	0	36	84	33	8	H	CH,SP,CA,V	-	-	-	
crouch LP CHAIN 2LP 3	2LP 2LP 2LP 2LP	4	3(7)3(7)3(7)3	7	4	6	2	6	4	30	70	0	36	84	43	8	H	CH,SP,CA,V	-	-	-	
crouch MP		6	2	13	3	5	1	10	8	60	100	10	72	120	20	12	H	SP,CA,V	-	-	-	
crouch HP		8	5	16	2	KD	-4	15	9	90	150	15	108	180	28	15	H	V	118	59	64	
crouch LK		4	3	8	2	4	0	5	3	20	70	0	24	84	14	8	L	V	-	-	-	2LK 123(456)(78901) CHAIN 123(456)(7890)/(11-14)
crouch LK CHAIN 2LK 1	2LK 2LK	4	3(8)3	8	2	4	0	5	3	20	70	0	24	84	25	8	L	V	-	-	-	
crouch LK CHAIN 2LK 2	2LK 2LK 2LK	4	3(8)3(7)3	8	2	4	0	5	3	20	70	0	24	84	35	8	L	V	-	-	-	
crouch LK CHAIN 2LK 3	2LK 2LK 2LK 2LK	4	3(8)3(7)3(7)3	8	2	4	0	5	3	20	70	0	24	84	45	8	L	V	-	-	-	
crouch MK		7	2	15	1	3	-4	10	5	60	100	10	72	120	23	12	L	V	-	-	-	
