Move	Command	Startup	Active	Recovery	Total	Hit Advantage	CH hit adv.	Block Advantage	Damage	Stun	VTC Hit Adv	VTC Blk Adv	VSRC HIT ADV	Chip	VTC CH hit adv.	KD Adv.	KDR Adv.	KDRB Adv.	Note
stand LP		3	2	7	11	+4		2	30	70	1	-1	-24						5LP 12(34)(5678) CHAIN 12(34)(5678)/(9-11)
stand MP		5	3	11	18	+5		2 (-1)	60	100	6	4	-17						
stand HP		8	3	17	27	+4		-3 (-6)	80	150	10	5	-13			99	40	45	[VTC 5HP] KD
stand LK		4	4	8	15	+4		1	30	70	4	1	-24						
stand MK		5	1(1)3	15	24	+1		-4 (-7)	70	100	9	2	-15						
VT stand MK		5	1(1)3	15	24	+1		-4 (-7)	70	100	9	2	-15						
stand HK		14	3	20	36	+1	20	-4 (-7)	80	150	0	-5			19	10	10	10	[5HP VTC 5HK] RESET [2HP VTC 5HK] RESET
crouch LP		4	3	6	12	+4		2	30	70	1	-1	-23						2LP 123(456)(7890) CHAIN 123(456)(7890)/(11-12)
crouch MP		6	3	16	24	+2		0 (-3)	60	100	9	4	-14						
crouch HP		10	2	21	32	+3	21	-5 (-8)	90	150	14	6	-9		32	96	37	42	[2HP HIT BOX] NO SAME VT 2HP [VTC 2HP] KD
crouch LK		3	2	10	14	+2		0	20	70	1	-1							2LK 12(34)(5678901) CHAIN 12(34)(5678901)/(12-14)
crouch MK		6	2	14	21	+2		-2 (-5)	50	100	5	1	-19						
crouch HK		8	2	23	32	KD		-12 (-15)	100	150	KD	1				68	19	24	
crouch HK VTC		8	2	23		KD		1	100	150						81	32	37	
6MK		22	2	19	42	0		-6	60	100									
4HK		7	2(7)3	15	33	-5(4)		-7(-2)	80	150	8	2	-13(-15)						[ACTIVE FRAME 16] HIT AIR
TC 5MP 4/6HP		5	3		-	KD		-12	114	190	KD	4				102	43	48	S2 CHANGE ADV
TC 5MP 4/6HP VTC		5	3		-	KD		4	114	190						118	59	64	S2 CHANGE ADV
stand LP CHAIN LP 1	5LP 5LP	3	2(6)2	7	19	+4		2	30	70	1	-1							
stand LP CHAIN LP 2	5LP 5LP 5LP	3	2(6)2(6)2	7	27	+4		2	30	70	1	-1							
stand LP CHAIN LP 3	5LP 5LP 5LP 5LP	3	2(6)2(6)2(6)2	7	35	+4		2	30	70	1	-1							
crouch LP CHAIN LP 1	2LP 2LP	4	3(7)3	6	22	+4		2	30	70	1	-1							
crouch LP CHAIN LP 2	2LP 2LP 2LP	4	3(7)3(7)3	6	32	+4		2	30	70	1	-1							
crouch LP CHAIN LP 3	2LP 2LP 2LP 2LP	4	3(7)3(7)3(7)3	6	42	+4		2	30	70	1	-1							
crouch LK CHAIN LK 1	2LK 2LK	3	2(9)2	10	25	+2		0	20	70	1	-1							
crouch LK CHAIN LK 2	2LK 2LK 2LK	3	2(9)2(9)2	10	36	+2		0	20	70	1	-1							
crouch LK CHAIN LK 3	2LK 2LK 2LK 2LK	3	2(9)2(9)2(9)2	10	47	+2		0	20	70	1	-1							
jump LP		4	5																
jump MP		6	4																
jump HP		8	5																
jump LK		4	7																
jump MK		7	5																
jump HK		8	5																
TC 8MP 8HK		6	4																
THROW	LP+LK	5	2	18	24	KD										62	13	13	S2 CHANGE KD ADV
THROW BACK	b+LP+LK	5	2	18	-	KD										68	9	9	S2 CHANGE KD ADV
THROW AIR 8JUMP	LP+LK	5	2		51	KD													EARLY AIR THROW WHIFF 54
THROW AIR 9JUMP	LP+LK	5	2		49	KD													EARLY AIR THROW WHIFF 52
THROW AIR 7JUMP	LP+LK	5	2		50	KD													EARLY AIR THROW WHIFF 53
VR	f+KKK	15	1	28		KD		-2								72	13	18	
VS CLOSE	MP+MK HOLD 1-12 FRAME	37	2	25	72	KD		-10								83	24	29	
VS FAR	MP+MK HOLD 1-12 FRAME	46	2	25	72	KD		-10								83	24	29	
VS HOLD 13F	MP+MK HOLD 13 FRAME	47	2	25	73	KD		-10								83	24	29	
VS HOLD 40F	MP+MK HOLD 40 FRAME	74	2	25	100	KD		-10								83	24	29	
VS HOLD 41F	MP+MK HOLD 41 FRAME	47	13(16)2	33	110	KD		-18								75	16	21	[ACTIVE FRAME] THROW INV PROJ INV [ACTIVE FRAME] TRACK
VS HOLD 74F	MP+MK HOLD 74 FRAME	80	15(16)2	33	145	KD		-18								75	16	21	[ACTIVE FRAME] THROW INV PROJ INV [ACTIVE FRAME] TRACK
VS CANCEL	MP+MK FRAME 13 MP+MK	14	1	25	39														FIRST CANCEL 1F INPUT [FRAME 14 MP+MK] START UP 15
VS CANCEL ON HIT	MP+MK FRAME 12 MP+MK	13	1	25	38														FIRST CANCEL 1F INPUT
VS 74F CANCEL	MP+MK HOLD 74F MP+MK	75	1	25	100														
VS DASH	MP+MK HOLD 21F DASH	21	1	16	37														MP+MK HOLD 1-20F = NO DASH CANCEL
VS BACK DASH	MP+MK HOLD 21F BACK DASH	21	1	24	45														MP+MK HOLD 1-20F = NO DASH CANCEL
VS 41F DASH	MP+MK HOLD 41F DASH	41	1	16	57														CHARGE
VS 41F BACK DASH	MP+MK HOLD 41F BACK DASH	41	1	24	65														CHARGE
VS 74F DASH	MP+MK HOLD 74F DASH	74	1	16	90														MP+MK HOLD 75F = NO DASH CANCEL
VS 74F BACK DASH	MP+MK HOLD 74F BACK DASH	74	1	24	98														MP+MK HOLD 75F = NO DASH CANCEL
VS RELEASE CLOSE	MP+MK	14	2(16)2	33	66	KD		-18											CHARGE 41F [TRACK HIT INV RISE] ACTIVE 1F
VS RELEASE TRACK CLOSE	MP+MK	26	2	33		KD		-18											CHARGE 41F
VS RELEASE FAR	MP+MK	15	16(16)2	33		KD		-18											CHARGE 41F
VS RELEASE CANCEL	MP+MK FRAME 9 MP+MK	10	1	25	35														FIRST CANCEL 1F INPUT
VS RELEASE CANCEL ON HIT	MP+MK FRAME 8 MP+MK	9	1	25	34														FIRST CANCEL 1F INPUT
VT	HP+HK	1	1	5	6														[FRAME 1] ALL INV
Fuharenkyaku LK	qcf+LK	10	3	18	30	KD		-2			KD	7				99	40	45	[ACTIVE FRAME] HIT PROJ BOX
Fuharenkyaku MK	qcf+MK	10	3	18	-	KD		-2			KD	7				99	40	45	[ACTIVE FRAME] HIT PROJ BOX
Fuharenkyaku HK	qcf+HK	10	3	18	-	KD		-2			KD	7				99	40	45	[ACTIVE FRAME] HIT PROJ BOX
Fuharenkyaku EX	qcf+KK	7	2(17)2(12)2(20)2	15	78	KD		-2			KD	0				80	21	26	[ACTIVE FRAME] HIT PROJ BOX
Fuharenkyaku LK RELEASE	qcf+LK	14	1	23	37	2		-2			13	10							[FRAME 14-73] PROJ ACTIVE 60F
VT Fuharenkyaku LK RELEASE	qcf+LK	14	1	25	39	KD		-1								95	36	41	[FRAME 14-73] PROJ ACTIVE 60F
Fuharenkyaku MK RELEASE	qcf+MK	21	2	19	41	6		-4			13	1				83	24	29	[ACTIVE FRAME] HIT PROJ BOX [FRAME 8-22] AIR
Fuharenkyaku HK RELEASE	qcf+HK	10	2(14)2	31	58	KD		-6			13(KD)	6(8)				96	37	42	[ACTIVE FRAME] HIT PROJ BOX [S2] CHANGE KD ADV
Fuharenkyaku LK VTC	qcf+LK	10	3	18	-	KD		7								108	49	54	[ACTIVE FRAME] HIT PROJ BOX
Fuharenkyaku MK VTC	qcf+MK	10	3	18	-	KD		7								108	49	54	[ACTIVE FRAME] HIT PROJ BOX
Fuharenkyaku HK VTC	qcf+HK	10	3	18	-	KD		7								108	49	54	[ACTIVE FRAME] HIT PROJ BOX
Fuharenkyaku EX VTC	qcf+KK	7	2(17)2(12)2(20)2	15	-	KD		0								82	83	28	[ACTIVE FRAME] HIT PROJ BOX
Fuharenkyaku LK RELEASE VTC	qcf+LK	14	1	23	-	13		10											[FRAME 14-73] PROJ ACTIVE 60F
Fuharenkyaku MK RELEASE VTC	qcf+MK	21	2	19	-	13		1											[ACTIVE FRAME] HIT PROJ BOX [FRAME 8-22] AIR
Fuharenkyaku HK RELEASE VTC	qcf+HK	10	2(14)2	31	-	13(KD)		6(8)								105	46	51	[ACTIVE FRAME] HIT PROJ BOX
Tensenrin LK	f,d,df+LK	7	3(2)2	22	35	1		-3											[ACTIVE FRAME 12-13] NO HIT CROUCH [CROUCH BLK] -8 ADV
Tensenrin MK	f,d,df+MK	6	2(3)2(3)2	38	55	KD		-29								87	28	33	[FRAME 3-7] HIT PROJ INV [FRAME 8-39] AIR [ACTIVE FRAME 16-17] HIT AIR
Tensenrin HK	f,d,df+HK	7	2(2)2(2)2(2)2	38	58	KD		-32								87	28	33	[FRAME 1-8] THROW INV [FRAME 9-42] AIR [ACTIVE FRAME 11-12] NO HIT CROUCH [ACTIVE FRAME 15-16] HIT AIR [ACTIVE FRAME 19-20] HIT AIR
Tensenrin EX	f,d,df+KK	7	2(2)2(2)2(2)2	38	58	KD		-31								63	4	9	[FRAME1-8] ALL INV [FRAME 8-40] AIR [ACTIVE FRAME 15-16] HIT AIR [ACTIVE FRAME 19-20] HIT AIR
Ryodansatsu LK	qcb+LK	19	3	24	45	KD		-6			KD	9				83	24	29	[FRAME 5-18] AIR
Ryodansatsu MK	qcb+MK	20	3	24	46	KD		-6			KD	9				83	24	29	[FRAME 5-19] AIR
