Move	Command	Command	Startup	Active	Recovery	Total	HIT ADV	CH ADV	BLK ADV	HIT GAP	CH GAP	BLK GAP	HIT DMG	HIT STUN	CH DMG	CH STUN	BLK DMG	EX-	EX+	VR-	VT-	HIT TYPE	HIT KDR	HIT KDBR	HIT KD	CH TYPE	CH KDR	CH KDBR	CH KD	NOTE	HIT EX1	HIT VR1	HIT EX2	HIT VR2	CH EX1	CH VR1	CH EX2	CH VR2	BLK EX1	BLK VR1	BLK EX2	BLK VR2
Dash	18 DASH	6 5 6	1	16		16																																				
Dash Back	19 BACKDASH	4 5 4	1	21		21																																				
Jump	4 TAKEOFF_V -> 5 JUMP_V -> 6 LANDING_V	8 (4+38)	42		4	46																																				
Jump Forward	7 TAKEOFF_F -> 8 JUMP_F -> 9 LANDING_F	9 (3+38)	41		4	45																																				
Jump Back	10 TAKEOFF_B -> 11 JUMP_B -> 12 LANDING_B	7 (4+38)	42		4	46																																				
stand LP	0. 5LP -> 600 5LP	5LP	4	2	7	12	4	6	2				30	70	36	84	0					HIT				CH					20		12	40	24		15	48	10		6	
stand MP	2. 5MP -> 601 5MP	5MP	5	3	12	19	4	6	1				60	100	72	120	10					HIT				CH					30		18	80	36		22	97	15		9	13
stand HP	4. 5HP -> 602 5HP	5HP	7	4	19	29	2	4	-2				80	150	96	180	13					HIT				CH					50		30	107	60		36	129	25		15	17
stand LK	1. 5LK -> 603 5LK	5LK	4	3	8	14	4	6	2				40	70	48	84	0					HIT				CH					20		12	53	24		15	64	10		6	
stand MK	3. 5MK -> 604 5MK	5MK	7	3	15	24	2	4	-2				60	100	72	120	10					HIT				CH					30		18	80	36		22	97	15		9	13
stand HK	5. 5HK -> 605 5HK	5HK	10	2	23	34	0	15	-4				80	126	96	180	13					HIT				CH					50		30	107	60	150	36	129	25		15	17
crouch LP	6. 2LP -> 612 2LP	2LP	3	2	8	12	3	5	2				20	70	24	84	0					HIT				CH					20		12	26	24		15	32	10		6	
crouch MP	8. 2MP -> 613 2MP	2MP	5	4	10	18	6	8	2				60	100	72	120	10					HIT				CH					30		18	80	36		22	97	15		9	13
crouch HP	10. 2HP -> 614 2HP	2HP	7	4	22	32	-3	KD	-7				90	150	108	180	15					HIT				CH	46	51	105		50		30	121	60	150	36	145	25		15	20
crouch LK	7. 2LK -> 615 2LK	2LK	4	2	8	13	2	4	0				30	70	36	84	0					HIT				CH					20		12	40	24		15	48	10		6	
crouch MK	9. 2MK -> 616 2MK	2MK	6	2	14	21	-1	1	-4				50	100	60	120	8					HIT				CH					30		18	67	36		22	80	15		9	10
crouch HK	11. 2HK -> 617 2HK	2HK	9	3	23	34	KD	KD	-14				90	150	108	180	15					HIT	18	23	67	CH	67	67	67		50		30	121	60	100	36	145	25		15	20
f+MK	18. 6MK -> 670 6MK	6MK	22	2	21	44	0	2	-6				60	100	72	120	10					HIT				CH					30		18	80	36		22	97	15		9	13
stand LP CHAIN	20. RC_5LP -> 660 RC_5LP	5LP 5F 5LP	4	2(5)2	7	19																																				
stand LP CHAIN	20. RC_5LP -> 660 RC_5LP	5LP 5F 5LP 6F 5LP	4	2(5)2(5)2	7	26																																				
stand LP CHAIN	20. RC_5LP -> 660 RC_5LP	5LP 5F 5LP 6F 5LP 6F 5LP	4	2(5)2(5)2(5)2	7	33																																				
crouch LP CHAIN	21. RC_2LP -> 661 RC_2LP	2LP 2.4F 2LP	3	2(6)2	8	20																																				
crouch LP CHAIN	21. RC_2LP -> 661 RC_2LP	2LP 2.4F 2LP 2.8F 2LP	3	2(6)2(8)2	8	30																																				
crouch LP CHAIN	21. RC_2LP -> 661 RC_2LP	2LP 2.4F 2LP 2.8F 2LP 2.9F 2LP	3	2(6)2(8)2(8)2	8	40																																				
jump LP	12. 8LP -> 624 8LP	8LP (4+1+3)	8	5(31)	4	47																																				
jump LP	12. 8LP -> 624 8LP	9LP (3+1+3)	7	5(33)	4	48																																				
jump LP	12. 8LP -> 624 8LP	7LP (4+1+3)	8	5(33)	4	49																																				
jump LP	12. 8LP -> 624 8LP	8 38F 5LP (4+35+3)	42	1	4	46	9	11	6				40	70	48	84	0					HIT				CH					20		12	53	24		15	64	10		6	
jump MP	14. 8MP -> 625 8MP	8 35F 5MP (4+32+6)	42	1	4	46	12	14	9				60	100	72	120	10					HIT				CH					30		18	80	36		22	97	15		9	13
jump MP HP	14. 8MP -> 625 8MP	8 4F 5MP 1F 5HP (4+1+6)	11	1(6)1(25)	4	47	KD	KD	KD				114	190	126	210	114					HIT	13	18	72	CH	13	18	72		75		48	153	81		52	170	75		48	153
jump HP	16. 8HP -> 626 8HP	8 34F 5HP (4+31+7)	42	1	4	46	15	17	12				90	150	108	180	15					HIT				CH					50		30	121	60		36	145	25		15	20
jump LK	13. 8LK -> 627 9LK	8 37F 5LK (4+34+4)	42	1	4	46	9	11	6				40	70	48	84	0					HIT				CH					20		12	53	24		15	64	10		6	
jump MK	15. 8MK -> 628 9MK	8 35F 5MK (4+32+6)	42	1	4	46	12	14	9				60	100	72	120	10					HIT				CH					30		18	80	36		22	97	15		9	13
jump HK	17. 8HK -> 629 8HK	8 32F 5HK (4+29+9)	42	1	4	46	15	17	12				90	150	108	180	15					HIT				CH					50		30	121	60		36	145	25		15	20
Throw	55. THROW_N -> 715 THROW_N	5TT	5	2	18	24	KD	KD	KD				120	120	120	120	120					HIT	5	5	64	CH	5	5	64		70		42	161	70		42	161	70		42	161
Throw Back	57. THROW_B -> 716 THROW_B	4TT	5	2	18	24	KD	KD	KD				140	200	140	200	140					HIT	0	0	59	CH	0	0	59	STAND 1F NO MOVE	100		60	188	100		60	188	100		60	188
V-Reversal	54. V_REVERSAL -> 890 V_REVERSAL	6PPP	16	2	24	41	KD	KD	-2				60	0	72	0	0			300		HIT	20	25	79	CH	20	25	79					80				97				
