Move	Command	Startup	Active	Recovery	Total	Total	HIT ADV	CH ADV	BLK ADV	HIT DMG	HIT STUN	CH DMG	CH STUN	BLK DMG	NOTE	HIT TYPE	HIT KDR	HIT KDBR	HIT KD	CH TYPE	CH ADV	CH KDR	CH KDBR	CH KD	EX-	EX+	VR-	VT-	HIT EX1	HIT VR1	HIT EX2	HIT VR2	CH EX1	CH VR1	CH EX2	CH VR2	BLK EX1	BLK VR1	BLK EX2	BLK VR2
Dash	6 5 6	1	17		17	17																																		
Dash Back	4 5 4	1	21		21	21																																		
Jump	8 (4+38)	42	1	4	46	46																																		
Jump Forward	9 (3+38)	41	1	4	45	45																																		
Jump Back	7 (4+38)	42	1	4	46	46																																		
stand LP	5LP	3	2	9	13	13	3	5	2	30	70	36	84	0						CH	5								20		12	40	24		15	48	10		6	
stand LK	5LK	4	3	9	15	15	4	6	3	30	70	36	84	0						CH	6								20		12	40	24		15	48	10		6	
stand MP	5MP	6	5	11	21	21	4	6	3	60	100	72	120	10						CH	6								30		18	80	36		22	97	15		9	13
stand MK	5MK	5	4	14	22	22	3	5	-2	60	100	72	120	10						CH	5								30		18	80	36		22	97	15		9	13
stand HP	5HP	8	3	18	28	28	4	16	-2	80	150	96	180	13						CH	16								50		30	107	60	150	36	129	25		15	17
stand HK	5HK	12	3	19	33	33	1	16	-4	90	150	108	180	15						CH	16								50		30	121	60	150	36	145	25		15	20
crouch LP	2LP	4	2	8	13	13	4	6	2	30	70	36	84	0						CH	6								20		12	40	24		15	48	10		6	
crouch LK	2LK	4	2	8	13	13	2	4	1	20	70	24	84	0						CH	4								20		12	26	24		15	32	10		6	
crouch MP	2MP	5	2	15	21	21	3	5	2	60	100	72	120	10						CH	5								30		18	80	36		22	97	15		9	13
crouch MK	2MK	7	3	13	22	22	0	2	-1	50	100	60	120	8						CH	2								30		18	67	36		22	80	15		9	10
crouch HP	2HP	7	4	17	27	27	2	4	-2	90	150	108	180	15						CH	4								50		30	121	60		36	145	25		15	20
crouch HK	2HK	9	3	20	31	31	KD	KD	-12	90	150	108	180	15			25	30	74	CH	KD	74	74	74					50		30	121	60	100	36	145	25		15	20
f+HP	6HP	17	2	17	35	35	4	6	-2	80	120	96	144	13						CH	6								50		30	107	60		36	129	25		15	17
f+HP HP	6HP 5F 5HP	17	1<15>(12)1<15>	21	51		KD	KD	-8	134	210	150	234	23		HIT	32	37	93	CH	KD	32	37	93					95		60	180	105		66	202	50		30	31
stand MP MK	5MP 5 5MK	6	1<12>(9)1<12>	18	34		2	2	-2	114	190	126	210	20		HIT				CH	2								57		36	153	63		40	170	30		18	26
crouch LP Chain 2	2LP 5F 2LP	4	2(8)2	8	23	23	4	6	-2	80	120	96	144	13						CH	6								50		30	107	60		36	129	25		15	17
crouch LP Chain 3	2LP 5F 2LP 9F 2LP	4	2(8)2(8)2	8	33	33	4	6	-2	80	120	96	144	13						CH	6								50		30	107	60		36	129	25		15	17
crouch LP Chain 4	2LP 5F 2LP 9F 2LP 9F 2LP	4	2(8)2(8)2(8)2	8	43	43	4	6	-2	80	120	96	144	13						CH	6								50		30	107	60		36	129	25		15	17
crouch LK Chain 2	2LK 5F 2LK	4	2(8)2	8	23	23	4	6	-2	80	120	96	144	13						CH	6								50		30	107	60		36	129	25		15	17
crouch LK Chain 3	2LK 5F 2LK 9F 2LK	4	2(8)2(8)2	8	33	33	4	6	-2	80	120	96	144	13						CH	6								50		30	107	60		36	129	25		15	17
crouch LK Chain 4	2LK 5F 2LK 9F 2LK 9F 2LK	4	2(8)2(8)2(8)2	8	43	43	4	6	-2	80	120	96	144	13						CH	6								50		30	107	60		36	129	25		15	17
jump LP	8LP (4+1+3)	8	5(31)	4	47	47	8	10	5	40	70	48	84	0						CH	10								20		12	53	24		15	64	10		6	
jump LP	9LP (3+1+3)	7	5(33)	4	48	48	8	10	5	40	70	48	84	0						CH	10								20		12	53	24		15	64	10		6	
jump LP	7LP (4+1+3)	8	5(33)	4	49	49	8	10	5	40	70	48	84	0						CH	10								20		12	53	24		15	64	10		6	
jump LP	8 33F 5LP (4+30+3)	37	5<8>(1)	4	46	46	8	10	5	40	70	48	84	0		HIT				CH	10								20		12	53	24		15	64	10		6	
jump LP	8 38F 5LP (4+35+3)	42	1<8>	4	46		9	11	6	40	70	48	84	0		HIT				CH	11								20		12	53	24		15	64	10		6	
jump LK	8 24F 5LK (4+21+4)	29	10<8>(4)	4	46		5	7	2	40	70	48	84	0		HIT				CH	7								20		12	53	24		15	64	10		6	
jump LK	8 37F 5LK (4+34+4)	42	1<8>	4	46		9	11	6	40	70	48	84	0		HIT				CH	11								20		12	53	24		15	64	10		6	
jump MP	8 35F 5MP (4+32+4)	40	3<12>	4	46		12	14	9	60	100	72	120	10		HIT				CH	14								30		18	80	36		22	97	15		9	13
jump MP	8 37F 5MP (4+34+4)	42	1<12>	4	46		12	14	9	60	100	72	120	10		HIT				CH	14								30		18	80	36		22	97	15		9	13
jump MK	8 26F 5MK (4+23+5)	32	7<12>(4)	4	46		8	10	5	60	100	72	120	10		HIT				CH	10								30		18	80	36		22	97	15		9	13
jump MK	8 36F 5MK (4+33+5)	42	1<12>	4	46		12	14	9	60	100	72	120	10		HIT				CH	14								30		18	80	36		22	97	15		9	13
jump HP	8 26F 5HP (4+23+7)	34	5<15>(4)	4	46		11	13	8	90	150	108	180	15		HIT				CH	13								50		30	121	60		36	145	25		15	20
jump HP	8 34F 5HP (4+31+7)	42	1<15>	4	46		15	17	12	90	150	108	180	15		HIT				CH	17								50		30	121	60		36	145	25		15	20
jump HK	8 27F 5HK (4+24+5)	33	6<15>(4)	4	46		11	13	8	90	150	108	180	15		HIT				CH	13								50		30	121	60		36	145	25		15	20
jump HK	8 36F 5HK (4+33+5)	42	1<15>	4	46		15	17	12	90	150	108	180	15		HIT				CH	17								50		30	121	60		36	145	25		15	20
Throw	5TT	5	2	18	24	24	KD	KD	KD	120	150	120	150	120	RANGE 0.8500		17	17	66	CH	KD	17	17	66					70		42	161	70		42	161	70		42	161
Throw Back	4TT	5	2	18	24		KD	KD	KD	120	150	120	150	120	RANGE 0.8500		16	16	65	CH	KD	16	16	65					70		42	161	70		42	161	70		42	161
V-Reversal	6PPP	16	2	24	41	41	KD	KD	-2	60	0	72	0	0			16	21	75	CH	KD	16	21	75			300					80				97				
V-Skill	5VS	20	6	22	47	47	2	KD	-7	80	150	96	180	13						CH	KD	44	49	103						60	20	107		150	24	129		30	10	17
V-Skill Dash Reversal	6VS	20			20	20									FRAME 1 AUTO CANCEL																									
V-Skill Dash	6VS	21			21	21									FRAME 1 AUTO CANCEL																									
V-Skill Kick	6VS 17F	30	6	22	57	57	2	KD	-7	80	150	96	180	13						CH	KD	44	49	103						60	20	107		150	24	129		30	10	17
V-Skill Dash Back	4VS	26			26	26									[FRAME 1-15] 4VS [FRAME 16] SPECIAL																									
V-Skill Dash Back Kick	4VS 16F	32	6	22	59	59	2	KD	-7	80	150	96	180	13	[FRAME 1-15] 4VS [FRAME 16-59] KICK					CH	KD	44	49	103						60	20	107		150	24	129		30	10	17
V-Skill Dash Back Dash	4VS 5 5VS	29			29	29									[FRAME 1-13] 4VS [FRAME 14-29] DASH																									
VT V-Skill	5VS	20	6	22	47	47	3	KD	-7	100	180	120	216	17						CH	KD	44	49	103				1000			20	134			24	161			10	22
VT V-Skill Dash	6VS	21			21	21									FRAME 1 AUTO CANCEL													1000												
VT V-Skill Kick	6VS 17F	30	6	22	57	57	3	KD	-7	100	180	120	216	17						CH	KD	44	49	103				1000			20	134			24	161			10	22
VT V-Skill Dash Back	4VS	26			26	26									[FRAME 1-15] 4VS [FRAME 16] SPECIAL													1000												
VT V-Skill Dash Back Kick	4VS 16F	34	6	22	61	61	3	KD	-7	100	180	120	216	17	[FRAME 1-15] 4VS [FRAME 16-61] KICK					CH	KD	44	49	103				1000			20	134			24	161			10	22
VT V-Skill Dash Back Dash	4VS 5 5VS	29			29	29									[FRAME 1-13] 4VS [FRAME 14-29] DASH													1000												
V-Trigger	5VT	5			5	5									[FRAME 1] ALL INV												600													
stand LP VTC	5LP 5 5VT	3	1<8>	10	13		3	5	2	30	70	36	84	0		HIT				CH	5						600		20		12	40	24		15	48	10		6	
stand LK VTC	5LK 5 5VT	4	1<8>	11	15		4	6	3	30	70	36	84	0		HIT				CH	6						600		20		12	40	24		15	48	10		6	
stand MP VTC	5MP 5 5VT	6	1<12>	10	16		9	11	8	60	100	72	120	10		HIT				CH	11						600		30		18	80	36		22	97	15		9	13
stand MK VTC	5MK 5 5VT	5	1<12>	11	16		9	11	4	60	100	72	120	10		HIT				CH	11						600		30		18	80	36		22	97	15		9	13
stand HP VTC	5HP 5 5VT	8	1<15>	11	19		13	25	7	80	150	96	180	13		HIT				CH	25						600		50		30	107	60		36	129	25		15	17
stand HK VTC	5HK 5 5VT	12	1<15>	10	22		12	27	7	90	150	108	180	15		HIT				CH	27						600		50		30	121	60		36	145	25		15	20
crouch LP VTC	2LP 5 5VT	4	1<8>	10	14		3	5	1	30	70	36	84	0		HIT				CH	5						600		20		12	40	24		15	48	10		6	
crouch LK VTC	2LK 5 5VT	4	1<8>	10	14		1	3	0	20	70	24	84	0		HIT				CH	3						600		20		12	26	24		15	32	10		6	
crouch MP VTC	2MP 5 5VT	5	1<12>	10	15		9	11	8	60	100	72	120	10		HIT				CH	11						600		30		18	80	36		22	97	15		9	13
crouch MK VTC	2MK 5 5VT	7	1<12>	10	17		5	7	4	50	100	60	120	8		HIT				CH	7						600		30		18	67	36		22	80	15		9	10
crouch HP VTC	2HP 5 5VT	7	1<15>	10	17		12	14	8	90	150	108	180	15		HIT				CH	14						600		50		30	121	60		36	145	25		15	20
crouch HK VTC	2HK 5 5VT	9	1<15>	10	19		KD	KD	0	90	150	108	180	15		HIT	37	42	86	CH	KD	86	86	86			600		50		30	121	60		36	145	25		15	20
f+HP VTC	6HP 5 5VT	17	1<15>	18	35		4	6	-2	80	120	96	144	13		HIT				CH	6						600		50	600	30	107	60	600	36	129	25	600	15	17
f+HP HP VTC	6HP 5F 5HP 30F 5VT	17	1<15>(12)1<15>	10	40		KD	KD	3	134	210	150	234	23		HIT	43	48	104	CH	KD	43	48	104			600		95		60	180	105		66	202	50		30	31
stand MP MK VTC	5MP 5 5MK 19F 5VT	6	1<12>(9)1<12>	10	26		10	10	6	114	190	126	210	20		HIT				CH	10						600		57		36	153	63		40	170	30		18	26
Bolt Charge LP	qcf+LP	13	4	17	33	33	2	4	-2	60	100	72	120	15						CH	4					20			40		12	80	44		15	97	30		6	20
Bolt Charge MP	qcf+MP	15	3	20	37	37	2	4	-7	60	50	72	60	15						CH	4					20			40		12	80	44		15	97	30		6	20
