Move	Command	Startup	Active	Recovery	Total 	Hit Advantage	CH hit adv.	Block Advantage	 Damage	Stun	KD Adv.	KDR Adv.	KDRB Adv.	Note
dash forward	19		19		19									
dash backward	24		24		24									
jump	46 (4+38+4)	42	1	4	46									EARLY WHIFF 47
jump forward	45 (3+38+4)	41	1	4	45									EARLY WHIFF 46
jump backward	46 (4+38+4)	42	1	4	46									EARLY WHIFF 47
stand LP		4	2	6	11	4	6	3						
stand MP		6	3	15	23	2	4	0						
stand HP		8	3	22	32	0	14	-5						
stand LK		4	3	7	13	4	6	3						
stand MK		7	3	16	25	2	4	0						
stand HK		9	4	15	27	1	3	-3						
crouch LP		4	2	7	12	4	6	2						
crouch MP		6	3	13	21	6	8	2						
crouch HP		9	2	17	27	7	9	3						
crouch LK		4	3	6	12	4	6	1						
crouch MK		8	2	15	24	0	2	-4						
crouch HK		8	2	24	33	KD	KD	-12			73	24	29	
chopping assault	f+MP	22	3	16	40	1	3	-6						
spinning back knuckle	f+HP	15	3	30	47	-3	KD	-13			93	59	59	
knee bazooka	f+LK	7	6	18	30	-1	1	-5						
jumping sobat	f+MK	13	2	18	32	2	4	-3						
step kick	f+HK	14	4	15	32	3	5	-3						
side knee attack	b+MK	5	4	14	22	4	6	2						
rapid punch	LP > MP	4	2	6		1	1	-6						
rapid kick	LK > MK	4	3	7		4	4	-2						
wind shear LK	MP > LK	6	3	15		3	3	-7						
wind shear HP	MP > LK > HP	6	3	15		KD	KD	-7			86	25	30	
down burst	d+MP > f+MP	6	3	13		1	1	-6						
raptor combination HK	MK > HK	7	3	16		KD	KD	-10			85	26	31	
raptor combination MK	MK > HK > MK	7	3	16		KD	KD	-10			88	29	34	
raptor combination VS	MK > HK > MP+MK	7	3	16		KD	KD	-10			86	27	32	
stand LP CHAIN 2		4	2(7)2	6	20	4	6	3						
stand LP CHAIN 3		4	2(7)2(7)2	6	29									
stand LP CHAIN 4		4	2(7)2(7)2(7)2	6	38									
crouch LP CHAIN 2		4	2(7)2	7	21									
crouch LP CHAIN 3		4	2(7)2(7)2	7	30									
crouch LP CHAIN 4		4	2(7)2(7)2(7)2	7	39									
jump LP		3	6	-		-	-	-						
jump MP		5	5	-		-	-	-						
jump HP		7	5	-		-	-	-						
jump LK		4	5	-		-	-	-						
jump MK		6	7	-		-	-	-						
jump HK		8	6	-		-	-	-						
jump f+HK		9	5	-		-	-	-						
