Move	Command	Command	Command	Startup	Active	Recovery	Total	Total	HIT ADV	CH ADV	BLK ADV	HIT DMG	HIT STUN	CH DMG	CH STUN	BLK DMG	NOTE	HIT TYPE	HIT KDR	HIT KDBR	HIT KD	CH TYPE	CH ADV	CH KDR	CH KDBR	CH KD	EX-	EX+	VR-	VT-	HIT EX1	HIT VR1	HIT EX2	HIT VR2	CH EX1	CH VR1	CH EX2	CH VR2	BLK EX1	BLK VR1	BLK EX2	BLK VR2
Dash	18 DASH	6 5 6	6 5 6	1	18		18	18																																		
Dash Back	19 BACKDASH	4 5 4	4 5 4	1	24		24	24																																		
Jump	4 TAKEOFF_V -> 5 JUMP_V -> 6 LANDING_V	8	8 (4+38)	42	1	4	46	46																																		
Jump Forward	7 TAKEOFF_F -> 8 JUMP_F -> 9 LANDING_F	9	9 (3+38)	41	1	4	45	45																																		
Jump Back	10 TAKEOFF_B -> 11 JUMP_B -> 12 LANDING_B	7	7 (4+38)	42	1	4	46	46																																		
stand LP	0. 5LP -> 600 5LP	5LP	5LP	4	2	7	12	12	4	6	2	30	70	36	84	0		HIT				CH	6								20		12	40	24		15	48	10		6	
stand MP	2. 5MP -> 601 5MP	5MP	5MP	5	2	13	19	19	8	10	-2	60	100	72	120	10		HIT				CH	10								30		18	80	36		22	97	15		9	13
stand HP	4. 5HP -> 602 5HP	5HP	5HP	7	3	18	27	27	2	4	-6	90	150	108	180	15		HIT				CH	4								50		30	121	60		36	145	25		15	20
stand LK	1. 5LK -> 603 5LK	5LK	5LK	4	3	8	14	14	2	4	1	30	70	36	84	0		HIT				CH	4								20		12	40	24		15	48	10		6	
stand MK	3. 5MK -> 604 5MK	5MK	5MK	8	4	15	26	26	2	4	-3	60	100	72	120	10		HIT				CH	4								30		18	80	36		22	97	15		9	13
f+MK	3. 5MK -> 604 5MK	6MK 6.16	f+MK f+16F	8	4	15	26	26	2	4	-3	60	100	72	120	10		HIT				CH	4								30		18	80	36		22	97	15		9	13
stand HK	5. 5HK -> 605 5HK	5HK	5HK	13	2	20	34	34	2	KD	-4	90	150	108	180	15		HIT				CH	KD	46	51	105					50		30	121	60	150	36	145	25		15	20
stand HK Hold 20	5. 5HK -> 605 5HK	5HK.20	5HK 20F	32	2	20	53	53	2	KD	-4	90	150	108	180	15		HIT				CH	KD	46	51	105					50		30	121	60	150	36	145	25		15	20
stand HK Hold 21	5. 5HK -> 605 5HK	5HK.21	5HK 21F	35	1	23	58	58	4	26	2	100	150	120	180	17		HIT				CH	26								50		30	134	60	150	36	161	25		15	22
stand HK Reversal	5. 5HK -> 605 5HK	5HK	5HK	12	2	20	33	33	2	KD	-4	90	150	108	180	15	FRAME 1 AUTO CANCEL	HIT				CH	KD	46	51	105					50		30	121	60	150	36	145	25		15	20
crouch LP	6. 2LP -> 612 2LP	2LP	2LP	3	2	6	10	10	3	5	1	20	70	24	84	0		HIT				CH	5								20		12	26	24		15	32	10		6	
crouch MP	8. 2MP -> 613 2MP	2MP	2MP	7	4	16	26	26	1	3	-1	60	100	72	120	10		HIT				CH	3								30		18	80	36		22	97	15		9	13
crouch HP	10. 2HP -> 614 2HP	2HP	2HP	11	6	17	33	33	-2	0	-6	80	150	96	180	13	CROUCH 1F NO MOVE	HIT				CH	0								50		30	107	60		36	129	25		15	17
crouch LK	7. 2LK -> 615 2LK	2LK	2LK	4	2	8	13	13	3	5	1	20	70	24	84	0		HIT				CH	5								20		12	26	24		15	32	10		6	
crouch MK	9. 2MK -> 616 2MK	2MK	2MK	7	3	15	24	24	3	5	-2	60	100	72	120	10		HIT				CH	5								30		18	80	36		22	97	15		9	13
crouch HK	11. 2HK -> 617 2HK	2HK	2HK	12	8	21	40	40	KD	KD	-12	90	150	108	180	15		HIT	19	24	68	CH	KD	68	68	68					50		30	121	60	100	36	145	25		15	20
stand LK MP	18. TC_5MP -> 635 TC_5MP	5LK	5LK	4	3	8	14	14	1	1	-5	75	160	81	174	8		HIT				CH	1								47		30	101	51		33	109	25		15	10
f+MP	20. J-PRESS_1 -> 674 J-PRESS	6MP	f+MP	8	2	20	29	29	0	2	-8	50	100	60	120	8		HIT				CH	2								30		18	67	36		22	80	15		9	10
b+MP	21. J-PRESS_2 -> 674 J-PRESS	4MP	b+MP	8	2	20	29		0	2	-8	50	100	60	120	8		HIT				CH	2								30		18	67	36		22	80	15		9	10
f+MP f+MP	40. J-ROPE_FRONT -> 675 J-ROPE_MISS	6MP 5 6MP	f+MP 5 f+MP	8	1<11>(1)1	51	61		KD	KD	-40	50	100	60	120	8		HIT	58	58	88	CH	KD	58	58	88					30		18	67	36		22	80	15		9	10
f+MP f+MP	40. J-ROPE_FRONT -> 675 J-ROPE_MISS	6MP 5 6MP +X=7.0	f+MP 5 f+MP +X=7.0	8	1<11>(1)1	51	61		KD	KD	-40	77	100	87	120	8		HIT	71	71	111	CH	KD	71	71	111					30		18	103	36		22	117	15		9	10
b+MP b+MP	41. J-ROPE_BACK -> 683 J-ROPE_MISS_BACK	4MP 5 4MP	b+MP 5 b+MP	8	1<11>(1)1	60	70		KD	KD	-28	50	100	60	120	8		HIT	58	58	88	CH	KD	58	58	88					30		18	67	36		22	80	15		9	10
b+MP b+MP	41. J-ROPE_BACK -> 683 J-ROPE_MISS_BACK	4MP 5 4MP +X=-7.5	b+MP 5 b+MP +X=-7.5	8	1<11>(1)1	60	70		KD	KD	-28	77	100	87	120	8		HIT	70	70	110	CH	KD	70	70	110					30		18	103	36		22	117	15		9	10
f+HP	22. READYMIKA -> 670 READYMIKA	6HP	f+HP	10	3	12	24	24	56	66	3	80	150	96	180	13		HIT				CH	66								50		30	107	60	150	36	129	25		15	17
jump LP	12. 8LP -> 624 8LP	8LP	u+LP (4+1+3)	8	5(31)	4	47	47	6	8	3	40	70	48	84	0		HIT				CH	8								20		12	53	24		15	64	10		6	
jump LP	12. 8LP -> 624 8LP	9LP	uf+LP (3+1+3)	7	5(33)	4	48	48	6	8	3	40	70	48	84	0		HIT				CH	8								20		12	53	24		15	64	10		6	
