Move	Command	Startup	Active	Recovery	Total 	Hit Advantage	CH hit adv.	Block Advantage	 Damage	Stun	KD Adv.	KDR Adv.	KDRB Adv.	Note
dash forward	22		22		22									
dash backward	22		22		22									
jump	47 (4+39+4)	43	1	4	47									
jump forward	46 (3+39+4)	42	1	4	46									
jump backward	47 (4+39+4)	43	1	4	47									
stand LP		4	3	7	13	4	6	3						
stand MP		7	3	14	23	6	8	2						
stand HP		11	3	20	33	-1	1	-6						
stand LK		3	2	10	14	2	4	2						
stand MK		7	3	13	22	2	4	-2						
stand HK		9	3	13	24	6	KD	3			100	68	73	
crouch LP		4	3	5	11	4	6	3						
crouch MP		6	3	12	20	3	5	1						
crouch HP		10	5	23	37	-5	-3	-11						
crouch LK		4	2	7	12	3	5	2						
crouch MK		7	2	15	23	-1	1	-2						
crouch HK		15	10	18	42	KD	KD	-12			69	20	25	
psycho axe	df+HP	18	3	20	40	6	15	1						
shadow axe	MP > df+HP	14	3	20		2	2	-8						
jump LP		4	6	-		-	-	-						
jump MP		7	3	-		-	-	-						
jump HP		8	6	-		-	-	-						
jump LK		3	6	-		-	-	-						
jump MK		6	6	-		-	-	-						
jump HK		8	6	-		-	-	-						
hell attack	MP > MP(air)	5	4	-		-	-	-						
psycho impact	LP+LK	5	2	18	24	KD	KD	-			83	24	24	
psycho fall	b+LP+LK	5	2	18	24	KD	KD	-			67	18	18	
psycho burst	f+PPP	17	2	20		KD		-2			80	21	26	
psycho reflect	MP+MK	6	7	30	42		-	-						
psycho power	HP+HK			11	11		-	-						[FRAME 1] ALL INV
stand LP VTC		4	3	7		2	4	1						
stand MP VTC		7	3	14		11	13	7						
stand HP VTC		11	3	20		9	11	4						
stand LK VTC		3	2	10		2	4	2						
stand MK VTC		7	3	13		6	8	2						
stand HK VTC		9	3	13		10	KD	7			104	72	77	
crouch LP VTC		4	3	5		0	2	-1						
crouch MP VTC		6	3	12		6	8	4						
crouch HP VTC		10	5	23		11	13	5						
crouch LK VTC		4	2	7		0	2	-1						
crouch MK VTC		7	2	15		3	5	2						
crouch HK VTC		15	10	18		KD	KD	4			85	36	41	
psycho axe VTC	df+HP	18	3	20		15	24	10						
shadow axe VTC	MP > df+HP	14	3	20		11	11	1						
psycho blast LP	b,f+LP	10	10	21	40	KD	KD	-4			83	24	29	
psycho blast MP	b,f+MP	15	10	18	42	KD	KD	-1			86	27	32	
psycho blast HP	b,f+HP	19	10	14	42	KD	KD	2			90	31	36	
psycho blast EX	b,f+PP	15	1	25	40	KD	KD	4			112	53	58	
psycho blast LP VTC	b,f+LP	10	10	21		KD	KD	15			102	43	48	
psycho blast MP VTC	b,f+MP	15	10	18		KD	KD	15			102	43	48	
psycho blast HP VTC	b,f+HP	19	10	14		KD	KD	14			102	43	48	
psycho blast EX VTC	b,f+PP	15	1	25		KD	KD	17			125	66	71	
double knee press LK	b,f+LK	13	2(1)3	19	37	2	2	-4						
double knee press MK	b,f+MK	15	2(1)3	20	40	2	2	-3						
double knee press HK	b,f+HK	19	2(2)3	21	46	2	2	-2						
double knee press EX	b,f+KK	12	6	17	34	KD	KD	1			25	25	25	
double knee press LK VTC	b,f+LK	13	2(1)3	19		4	4	-2						
double knee press MK VTC	b,f+MK	15	2(1)3	20		5	5	0						
double knee press HK VTC	b,f+HK	19	2(2)3	21		7	7	3						
double knee press EX VTC	b,f+KK	12	6	17		KD	KD	7			25	25	25	
head press LK	d,u+LK	23	27	7	56	-	-	-						
head press MK	d,u+MK	23	27	7	56	-	-	-						
head press HK	d,u+HK	23	27	7	56	-	-	-						
head press EX	d,u+KK	17	24	16	56	KD	KD	-			16	16	16	
somersault skull diver	P after head press	5	10	-		-	-	-						
devil reverse	P before head press	15	22	-		KD	KD	-						
psycho inferno LP	qcb+LP	14	12	31	56	KD	KD	-12			96	37	42	[CH KD ADV] -1
psycho inferno MP	qcb+MP	16	14	29	58	KD	KD	-11			99	40	45	[CH KD ADV] -1
psycho inferno HP	qcb+HP	18	16	30	63	KD	KD	-10			101	42	47	[CH KD ADV] -1
psycho inferno EX	qcb+PP	15	18	22	54	KD	KD	-1			110	51	56	
psycho inferno LP VTC	qcb+LP	14	12	31		KD	KD	19			127	68	73	[CH KD ADV] -1
psycho inferno MP VTC	qcb+MP	16	14	29		KD	KD	20			130	71	76	[CH KD ADV] -1
psycho inferno HP VTC	qcb+HP	18	16	30		KD	KD	24			135	76	81	[CH KD ADV] -1
psycho inferno EX VTC	qcb+PP	15	18	22		KD	KD	27			138	79	84	
ultimate psycho crusher	qcf,qcf+P	6	15	63	83	KD	KD	-40			27	27	27	
taunt	61			61	61									
health	1000													
stun	950													
VT psycho blast LP	b,f+LP	11	14	13	37	KD	KD	1			87	28	33	
VT psycho blast MP	b,f+MP	11	14	13	37	KD	KD	1			87	28	33	
VT psycho blast HP	b,f+HP	11	14	13	37	KD	KD	1			87	28	33	
VT psycho blast EX	b,f+PP	14	1	24	38	KD	KD	5			110	51	56	
VT double knee press LK	b,f+LK	13	2(1)3	19	37	2	2	-4						
VT double knee press MK	b,f+MK	15	2(1)3	20	40	2	2	-3						
VT double knee press HK	b,f+HK	19	2(1)3	22	46	2	2	-2						
VT double knee press EX	b,f+KK	13	2(1)4	15	34	KD	KD	3			25	25	25	
VT head press LK	d,u+LK	24	23	25	71	KD	KD	3			32	32	34	[RYU CLOSE] BLK +1 KD +32 [RYU FAR] +34
VT head press MK	d,u+MK	24	23	25	71	KD	KD	3			32	32	34	[RYU CLOSE] BLK +1 KD +32 [RYU FAR] +34
