Move	Command	Startup	Active	Recovery	Hit Advantage	CH hit adv.	Block Advantage	 Damage	Stun	CH Damage	CH Stun	Chip	Total 	Hitstop	Attack Level	Cancel Ability	KD Adv.	KDR Adv.	KDRB Adv.	Note
stand LP		5	4	7	5	7	3	40	70	48	84	0	15	8	H	SP,V				
stand MP		6	2	13	4	6	2	70	100	84	120	12	20	12	H	V				
stand HP		13	4	23	2	27	-3	100	150	120	180	17	39		H	V				
stand HP FAR		14	3	23	3	27	-4	100	150	120	180	17	39		H	V				
stand HP HOLD		37	4	23	KD	31	1	130	200	156	240	22	63		H	V	94	33	38	KD HIT ACTIVE 1
stand HP HOLD FAR		38	3	23	KD	33	2	130	200	156	240	22	63		H	V	95	34	39	KD HIT ACTIVE 2
stand LK		5	2	12	2	4	0	30	70	36	84	0	18	8	H	SP,V				
stand MK		9	3	17	0	2	-3	70	100	84	120	12	28	12	H	V				
stand HK		11	4	22	2	KD	-2	90	150	108	180	15	36	15	H	V	109	48	53	
crouch LP		4	3	6	4	6	3	30	70	36	84	0	12	8	H	SP,V				
crouch MP		6	3	12	5	7	3	60	100	72	120	10	20	12	H	SP,V				
crouch HP		9	6	20	2	4	-4	100	150	120	180	17	34	15	H	CA,V				
crouch LK		4	2	8	4	6	2	30	70	36	84	0	13	8	L	SP,V				
crouch MK		8	2	16	0	2	-4	60	100	72	120	10	25	12	L	SP,V				
crouch HK		10	3	26	KD	KD	-10	100	150	120	180	17	38	15	L	V	68	19	24	
jump LP		5	5	-	-	-	-	50	70	60	84	0		8	M	-		-	-	
jump MP		6	4	-	-	-	-	80	100	96	120	13		12	M	-		-	-	
jump HP		7	6	-	-	-	-	100	150	120	180	17		15	M	-		-	-	
jump LK		6	5	-	-	-	-	50	70	60	84	0		8	M	-		-	-	
jump MK		7	3	-	-	-	-	70	100	84	120	12		12	M	-		-	-	
jump HK		9	5	-	-	-	-	100	150	120	180	17		15	M	-		-	-	
head butt	f+HP	12	4	14	7	9	2	100	200	120	240	17	29	15	H	CA		-	-	
