Move	Command	Startup	Active	Recovery	Total 	Block Advantage	Hit Advantage	CH hit adv.	Damage	Stun	KD Adv.	KDR Adv.	KDRB Adv.	VTC HIT	VTC BLK	INV FRAME	Note
dash forward		1	17	0	17												@AUTOMATTOCK @AKI7765 DONATE LOL
dash backwards		1	22	0	22												
jump	8 (4+39+4)	43	1	4	47												
jump forward	9 (3+39+4)	42	1	4	46												
jump backwards	7 (4+39+4)	43	1	4	47												
																	
STAND LP	5LP	4	2	9	14	2	4	6						3	1		TRANSFORM: -11/-13
STAND MP	5MP	6	2	14	21	3	5	7						9	7		TRANSFORM: -5/-7
STAND HP	5HP	9	2	30	40	-5	-2	KD			85	26	31	18	15		TRANSFORM: +4/+1
STAND LK	5LK	5	4	6	14	2	4	6						2	0		TRANSFORM: -12/-14
STAND MK	5MK	7	3	12	21	2	7	9						10	5		
STAND HK	5HK	13	2	24	38	-2	5	21						19	12		
CROUCH LP	2LP	4	2	7	12	2	4	6						1	-1		TRANSFORM: -13/-15
Cr.LP CHAIN	2LP>2LP	4	2(7)2	7	21	2	4	6						1	-1		
CROUCH MP	2MP	8	2	14	23	1	5	7						9	5		
CROUCH HP	2HP	10	4	16	29	2	7	KD			103	44	49	15	10		TRANSFORM: -1/-4
CROUCH LK	2LK	5	2	8	14	2	4	6						2	0		
CROUCH MK	2MK	8	3	17	27	-2	2	4						8	4		
CROUCH HK	2HK	10	2	25	36	-8	KD	KD			74	21	26	KD (+95/36/41)	7		
JUMP LP	8LP	4	6														
JUMP MP	8MP	7	4														
JUMP HP	8HP	8	5														
JUMP LK	8LK	4	6														
JUMP MK	8MK	7	4														
JUMP HK	8HK	10	4														
																	
Nouten Wari	6HP	22	1(0)3	20	45	-6	1	1									
																	
Tsurigane Otoshi	6LP+LK	5	2	18	24	KD	KD	KD			55	6	6				
Mikoshi	4LP+LK	5	2	18	24	KD	KD	KD			62	13	13				
																	
V-Skill	MP+MK	14	4	29	46	-7	KD	KD			73	14	19				
V-Skill HOLD Forward	MP+MK > 6	14	4	29	46	-7	KD	KD			71	12	17				
V-reversal	6+PPP	17	2	24	42	-2	KD	KD			85	26	31				[FRAME 1-21] HIT INV
V-Trigger	HP+HK	6		0	6											FRAME 0.5 ?	
V-Trigger cancel version	HP+HK																
Idaten	HP+HK	25		0	25											FRAME 6-15	[FRAME 16-17] PROJ INV
Bushin Bakujasho	HP+HK > HP+HK	21	6	18	44	-2	KD	KD			89	30	35				[FRAME 1-7] DASH | PROJECTILE HITBOX AS WELL
Idaten St.LP	HP+HK > 5LP	11	2	11	23	0	2	4									[FRAME 1-7] DASH | SPECIAL CANCELABLE 1ST HIT FROM DASH
Idaten St.MP	HP+HK > 5MP	13	2	19	33	-3	0	2									[FRAME 1-7] DASH | SPECIAL CANCELABLE 1ST HIT FROM DASH
Idaten St.HP	HP+HK > 5HP	15	2	34	50	-11	-8	-6									[FRAME 1-7] DASH | SPECIAL CANCELABLE 1ST HIT FROM DASH
Idaten St.LK	HP+HK > 5LK	12	4	9	24	-1	1	3									[FRAME 1-7] DASH | SPECIAL CANCELABLE 1ST HIT FROM DASH
Idaten St.MK	HP+HK > 5MK	13	2	18	32	-2	1	3									[FRAME 1-7] DASH
Idaten St.HK	HP+HK > 5HK	20	2	30	51	-11	-4	-2									[FRAME 1-7] DASH
Idaten Cr.LP	HP+HK > 2LP	11	2	9	21	0	2	4									[FRAME 1-7] DASH | SPECIAL CANCELABLE 1ST HIT FROM DASH
Idaten Cr.MP	HP+HK > 2MP	15	2	21	37	-4	0	2									[FRAME 1-7] DASH | SPECIAL CANCELABLE 1ST HIT FROM DASH
Idaten Cr. HP	HP+HK > 2HP	17	4	22	42	-4	1	3									[FRAME 1-7] DASH | SPECIAL CANCELABLE 1ST HIT FROM DASH
Idaten Cr. LK	HP+HK > 2LK	12	2	10	23	0	2	4									[FRAME 1-7] DASH
Idaten Cr. MK	HP+HK > 2MK	15	3	22	39	-11	-7	-5									[FRAME 1-7] DASH
Idaten Cr. HK	HP+HK > 2HK	19	2	31	51	-14	KD	KD			68	15	20				[FRAME 1-7] DASH
																	
L Bushin Gram - Koku	236+LK	14	9	23	45	-6	KD	KD			77	18	23				
M Bushin Gram - Koku	236+MK	20	10	21	50	-6	KD	KD			78	19	24				
H Bushin Gram - Koku	236+HK	25	11	20	55	-6	KD	KD			79	20	25				
EX Bushin Gram - Koku	236+KK	17	21	20	57	1	KD	KD			95	36	41				
																	
L Bushin Gram - Koku (Strike)	236+LK	14	1	31	45	-6	KD	KD			77	18	23				
L Gram - Koku (Projectile)	236+LK	15	8	23	45	-7	4	6									
M Bushin Gram - Koku (Strike)	236+MK	20	1	30	50	-6	KD	KD			78	19	24				
M Bushin Gram - Koku (Projectile)	236+MK	21	9	21	50	-8	2	4									
H Bushin Gram - Koku (Strike)	236+HK	25	1	30	55	-6	KD	KD			79	20	25				
H Bushin Gram - Koku (Projectile)	236+HK	26	10	20	55	-9	2	4									
EX Bushin Gram - Koku (Strike)	236+KK	17	1	40	57	1	KD	KD			95	36	41				
EX Bushin Gram - Koku (Projectile)	236+KK	18	20	20	57	-1	KD	KD			93	34	39				
																	
L Bushin Gram - Ban	623+LK	5	12	30	46	-23	KD	KD			88	29	34				
M Bushin Gram - Ban	623+MK	7	15	30	51	-29	KD	KD			82	23	28				
H Bushin Gram - Ban	623+HK	7	16	37	59	-33	KD	KD			78	19	24				
EX Bushin Gram - Ban	623+KK	5	1(1)14	48	68	-33	KD	KD			81	22	27			FRAME 1-7	
																	
L Bushin Gram - Ban (Strike)	623+LK	5	2	40	46	-23	KD	KD			88	29	34				
L Bushin Gram - Ban (Projectile)	623+LK	7	10	30	46	-7	KD	KD			?	?	?				
M Bushin Gram - Ban (Strike)	623+MK	7	2	43	51	-29	KD	KD			82	23	28				
M Bushin Gram - Ban (Projectile)	623+MK	9	13	30	51	-7	KD	KD			?	?	?				
H Bushin Gram - Ban (Strike)	623+HK	7	2	51	59	-33	KD	KD			78	19	24				
H Bushin Gram - Ban (Projectile)	623+HK	9	14	37	59	-11	KD	KD			?	?	?				
EX Bushin Gram - Ban (Strike)	623+KK	5	1	63	68	-33	KD	KD			81	22	27			FRAME 1-7	
EX Bushin Gram - Ban (Projectile)	623+KK	7	14	48	68	-27? PLS TEST LOL	KD	KD			?	?	?			FRAME 1-7	
																	
																	
L Bushin Gram - Teki	214+LK	15	14	23	51	-14	KD	KD			104	45	50				
M Bushin Gram - Teki	214+MK	23	14	25	61	-14	KD	KD			111	52	57				
H Bushin Gram - Teki	214+HK	30	14	23	66	-14	KD	KD			117	58	63				
EX Bushin Gram - Teki	214+KK	18	2(1)18	16	54	-2	KD	KD			108	49	54				
																	
L Bushin Gram - Teki (Strike)	214+LK	15	2	35	51	-14	KD	KD			104	45	50				
L Bushin Gram - Teki (Projectile)	214+LK	17	12	23	51	-2	KD	KD			100	41	46				
M Bushin Gram - Teki (Strike)	214+MK	23	2	37	61	-14	KD	KD			111	52	57				
M Bushin Gram - Teki (Projectile)	214+MK	25	12	25	61	-4	KD	KD			102	43	48				
H Bushin Gram - Teki (Strike)	214+HK	30	2	35	66	-14	KD	KD			117	58	63				
H Bushin Gram - Teki (Projectile)	214+HK	32	12	23	66	-2	KD	KD			110	51	56				
EX Bushin Gram - Teki (Strike)	214+KK	18	2	35	54	-2	KD	KD			108	49	54				
EX Bushin Gram - Teki (Projectile)	214+KK	21	18	16	54	5	KD	KD			114	55	60				
																	
L Bushin Gram - Teki (Cancel)	214+LK	15	14	16	44												
M Bushin Gram - Teki (Cancel)	214+MK	23	14	17	53												
H Bushin Gram - Teki (Cancel)	214+HK	30	14	16	59												
EX Bushin Gram - Teki (Cancel)	214+KK	18	2(1)18	9	47												
																	
GramTeki > L Gram Koku	214+K > 236LK	14	9	23		-4	KD	KD			79	20	25				[KD ADV] BLK GRAMTEKI HIT KOKU
GramTeki > M Gram Koku	214+K > 236MK	20	10	21		-6	KD	KD			78	19	24				[KD ADV] BLK GRAMTEKI HIT KOKU
GramTeki > H Gram Koku	214+K > 236HK	25	11	20		-6	KD	KD			79	20	25				[KD ADV] BLK GRAMTEKI HIT KOKU
GramTeki > EX Gram Koku	214+K > 236KK	17	21	20		1	KD	KD			95	36	41				[KD ADV] BLK GRAMTEKI HIT KOKU
																	
GramTeki > L Gram Koku (Strike)	214+K > 236LK	14	1	31													
